msa_name,msa_code,5-Year Household Growth,1-Year Household Growth,Population,5-Year Population Growth,1-Year Population Growth,Vacancy_Rate,ACS_1_Year_Median_Price,5-Year Price Growth,ACS_1_Year_Median_Rent,5-Year Rent Growth,ACS_1_Year_Rent-Price_Ratio,Total_Units,msa_name_original,Population_Size_Category,msa_code_bls,Jobs,5-Year Job Growth,Income,5-Year Income Growth,Unemployment_Rate,permit_data_for_year,sfh_permits,duplex_unit_permits,small_multifamily_unit_permits,commercial_multifamily_unit_permits,total_unit_permits,percent_sfh,percent_duplex,percent_small_multi,percent_large_multi,Permits_as_Percent_of_Total_Units,housecanary_median_price,housecanary_median_rent,hc_median_rent_upper_bound,housecanary_rentpriceratio,1-Year Price Forecast,1-Year Rent Forecast,state,metro_or_micro_area,median_prop_taxes_by_msa,insurance,1-Year_HH_Growth_Minus_Percent_New_Supply,Median_Prop_Tax_Rate,Normalized Total Employment,5-Year Job Growth x Normalized,RANK_5-Year Household Growth,RANK_5-Year Population Growth,RANK_5-Year Job Growth,RANK_5-Year Job Growth x Normalized,RANK_Income,RANK_5-Year Income Growth,RANK_Unemployment_Rate,RANK_Permits_as_Percent_of_Total_Units,RANK_1-Year_HH_Growth_Minus_Percent_New_Supply,RANK_ACS_1_Year_Rent-Price_Ratio,RANK_housecanary_rentpriceratio,RANK_1-Year Price Forecast,RANK_ACS_1_Year_Median_Price,RANK_insurance,RANK_Median_Prop_Tax_Rate,RANK_Vacancy_Rate
"Punta Gorda, FL",39460,0.13069547566903478,0.02315267959639901,189900.0,0.09619247731418412,0.027391701877870774,0.2394592652474625,365900.0,0.7710551790900291,1331.0,0.507361268403171,0.36376059032522545,111330.0,"Punta Gorda, FL",2,39460,56200.0,0.1422764227642277,40666.6,0.159382690426068,4.2,2023.0,3804.0,284.0,395.0,230.0,4429.0,85.88846240686385,6.412282682321066,8.918491758862046,5.193045834274103,0.03978262822240187,352500.0,1953.0,2456.0,0.005540425531914894,0.012580774883086843,-0.20855213803450867,FL,Metropolitan Statistical Area,2064.0,4984.0,-0.01662994862600286,0.005640885487838207,0.004063727074214428,0.057817255120937,340,337,350,228,28,136,168,6,7,211,119,21,98,25,258,11
"Kahului, HI",27980,0.005988903993827387,0.015013901760889712,164815.0,0.00386770617614813,0.001208873985517811,0.2383548687706023,934500.0,0.48451151707704526,1666.0,0.10039630118890357,0.17827715355805243,71897.0,"Kahului-Wailuku, HI",2,27980,71300.0,-0.10986267166042452,67168.92,0.5334053515040718,4.0,2023.0,469.0,4.0,4.0,133.0,606.0,77.39273927392739,0.6600660066006601,0.6600660066006601,21.94719471947195,0.00842872442521941,,,,,0.017130966836292005,0.044869783495450344,HI,Metropolitan Statistical Area,1339.0,791.0,0.006585177335670302,0.0014328517924023542,0.005542336202422569,-0.06088958624384349,49,94,2,11,347,365,201,179,269,1,326,32,4,367,367,12
"Sebring, FL",42700,0.08065296251511488,0.016099324646974555,102339.0,0.02158180021362189,0.011514816059461917,0.2242860862772328,208900.0,0.9744801512287334,883.0,0.37538940809968846,0.4226902824317855,57605.0,"Sebring, FL",2,42700,28300.0,0.10116731517509736,36192.0,0.08402772369753131,5.3,2023.0,626.0,34.0,34.0,52.0,712.0,87.92134831460675,4.775280898876405,4.775280898876405,7.303370786516854,0.012360038191129243,245500.0,1580.0,2009.0,0.006435845213849287,0.017412485721501447,0.025757575757575868,FL,Metropolitan Statistical Area,1006.0,4984.0,0.0037392864558453125,0.004815701292484442,0.0013317274267305112,0.0134727288307367,270,160,313,148,8,64,53,121,206,311,223,34,276,19,304,13
"North Port, FL",35840,0.13432080765931506,0.03091008261536309,844461.0,0.09901338008097546,0.02463235294117647,0.2202311651787739,438600.0,0.702639751552795,1699.0,0.5129118432769367,0.3873689010487916,462959.0,"North Port-Bradenton-Sarasota, FL",4,35840,347500.0,0.13339856490541413,52776.36,0.14899470180681984,3.8,2023.0,10495.0,120.0,195.0,5238.0,15928.0,65.89025615268709,0.7533902561526871,1.2242591662481166,32.88548468106479,0.03440477450486976,469800.0,2358.0,3063.0,0.005019157088122605,0.008312054211177644,0.036319612590798966,FL,Metropolitan Statistical Area,2409.0,4984.0,-0.0034946918895066743,0.005492476060191518,0.032588153501170156,0.4347212909973446,344,341,346,333,173,122,243,14,56,252,81,15,56,12,266,14
"Glens Falls, NY",24020,0.054257665359017895,0.012806089923875951,126994.0,0.0008669335771255636,-0.0015881002547249914,0.2183004833434632,233300.0,0.3106741573033708,804.0,0.07343124165554073,0.3446206600942992,69102.0,"Glens Falls, NY",2,24020,52900.0,-0.045126353790613694,42900.0,-0.07852116608957893,3.5,2023.0,226.0,2.0,6.0,6.0,238.0,94.95798319327731,0.8403361344537815,2.5210084033613445,2.5210084033613445,0.0034441839599432724,270600.0,1806.0,2632.0,0.0066740576496674055,0.02415136652542116,,NY,Metropolitan Statistical Area,3632.0,2349.0,0.009361905963932679,0.0155679382768967,0.003740587330963642,-0.01687990672817527,205,86,9,34,49,13,289,303,313,161,242,66,235,263,35,15
"Hilton Head Island, SC",25940,0.11977581045793262,0.041304888594070194,218515.0,0.056746025988848106,0.01933572794700751,0.2181855373040083,453800.0,0.513675783855904,1569.0,0.48158640226628896,0.34574702512119876,112441.0,"Hilton Head Island-Bluffton-Port Royal, SC",2,25940,91100.0,0.07810650887573956,42506.880000000005,0.06815805979510792,5.2,2023.0,2642.0,0.0,38.0,274.0,2954.0,89.43805010155721,0.0,1.2863913337846986,9.275558564658091,0.02627155574923738,502500.0,2510.0,3202.0,0.004995024875621891,0.05175433663717177,-0.0596610169491526,SC,Metropolitan Statistical Area,1707.0,3219.0,0.015033332844832815,0.00376156897311591,0.007481174661927284,0.05843284351327813,330,279,281,229,46,50,61,31,349,163,78,270,53,174,340,16
"Wilmington, NC",48900,0.11046252185973587,0.03270019123246802,429447.0,0.07339745352202798,0.025109326662338158,0.2175967233453148,370400.0,0.5459098497495827,1289.0,0.44344904815229563,0.34800215982721383,235362.0,"Wilmington, NC",3,48900,150100.0,0.13112283345892983,58357.52,0.45818120395514716,3.7,2023.0,2228.0,134.0,202.0,1535.0,3965.0,56.19167717528373,3.3795712484237073,5.094577553593947,38.71374527112232,0.016846389816537927,461700.0,2027.0,2477.0,0.004390296729478016,0.05367125258390648,-0.014419610670511895,NC,Metropolitan Statistical Area,1812.0,3398.0,0.015853801415930093,0.004892008639308856,0.01325852158671406,0.17384949179263337,319,308,344,294,277,358,250,73,353,171,41,278,96,151,301,17
"Sebastian, FL",42680,0.13510386627756385,0.03720592644019124,160986.0,0.08788290388630973,0.018885836888140658,0.2155821529576019,370600.0,0.6784420289855072,1234.0,0.4975728155339806,0.33297355639503506,83801.0,"Sebastian-Vero Beach-West Vero Corridor, FL",2,42680,58700.0,0.10754716981132084,44466.24,0.23618700667880987,4.4,2023.0,1215.0,52.0,61.0,380.0,1656.0,73.3695652173913,3.140096618357488,3.683574879227053,22.946859903381643,0.019761100702855576,370700.0,2234.0,2767.0,0.006026436471540329,0.014601976082030843,-0.04596191726854881,FL,Metropolitan Statistical Area,1892.0,4984.0,0.017444825737335662,0.0051052347544522396,0.004308529910010478,0.04633701978690517,347,329,325,211,66,223,141,53,358,139,169,25,95,23,290,18
"Brunswick, GA",15260,-0.0035535667280863384,0.015514620405973352,113854.0,-0.01798359482141471,0.0010374903284799887,0.2086752025084922,281800.0,0.8110539845758354,898.0,0.22010869565217392,0.31866572036905605,57405.0,"Brunswick-St. Simons, GA",2,15260,49000.0,0.11617312072892938,43701.84,0.39651046859421735,4.0,2023.0,562.0,68.0,132.0,92.0,786.0,71.50127226463104,8.651399491094148,16.793893129770993,11.704834605597965,0.01369218709171675,268900.0,1762.0,2244.0,0.006552621792487914,0.08091931935775576,0.02164179104477615,GA,Metropolitan Statistical Area,1524.0,2881.0,0.0018224333142566017,0.005408090844570617,0.003358694907121804,0.03901900689367016,32,32,334,197,60,346,213,105,154,104,236,358,165,217,274,19
"Pittsfield, MA",38340,0.018433430797450193,0.009959477712742007,128763.0,0.007921660104421883,-0.0025253894599849714,0.1961526332387259,298200.0,0.3265124555160142,881.0,0.19538670284938942,0.295439302481556,69762.0,"Pittsfield, MA",2,76600,40400.0,-0.012224938875305624,47961.68,0.025779616530984484,4.2,2023.0,107.0,8.0,8.0,30.0,145.0,73.79310344827586,5.517241379310345,5.517241379310345,20.689655172413794,0.0020784954559788997,353400.0,2174.0,2946.0,0.006151669496321449,0.0871740157544243,,MA,Metropolitan Statistical Area,3474.0,1998.0,0.007880982256763107,0.011649899396378269,0.0025165731519833927,-0.0030764952958232186,77,117,49,76,102,32,173,337,292,76,186,364,147,325,104,20
"Yuma, AZ",49740,0.04197014092367797,0.026981682160734915,204374.0,0.00045525526113539684,0.0070462787764112265,0.1953495388328592,246900.0,0.7560455192034139,878.0,0.26878612716763006,0.3556095585257189,92808.0,"Yuma, AZ",2,49740,62000.0,0.09734513274336276,52430.56,0.38724856222998816,16.3,2023.0,761.0,20.0,24.0,88.0,873.0,87.17067583046965,2.290950744558992,2.7491408934707904,10.080183276059564,0.009406516679596586,247900.0,1216.0,1550.0,0.004905203711173861,0.036408705786486584,,AZ,Metropolitan Statistical Area,1177.0,3063.0,0.017575165481138327,0.004767112191170515,0.004631669653261263,0.045087049722012267,163,83,306,208,168,342,2,164,359,196,70,152,215,182,305,21
"Lake Havasu City, AZ",29420,0.1342876212724369,0.0213567434722416,214229.0,0.04659706582116459,0.013986576672946033,0.1939816892939113,293800.0,0.5520338087691495,899.0,0.34379671150971597,0.3059904697072839,118073.0,"Lake Havasu City-Kingman, AZ",2,29420,56100.0,0.07884615384615379,47702.72,0.30421678182490264,4.4,2023.0,2086.0,42.0,69.0,86.0,2241.0,93.0834448906738,1.8741633199464525,3.0789825970548863,3.8375725122713074,0.01897978369313899,331800.0,1640.0,1990.0,0.004942736588306209,0.01619884872831978,,AZ,Metropolitan Statistical Area,1081.0,3063.0,0.0023769597791026102,0.0036793737236215113,0.004053934960782586,0.03196371796001652,343,248,283,190,99,305,140,56,170,91,73,30,150,185,344,22
"Asheville, NC",11700,-0.004301887259604969,0.003042887251050669,407332.0,0.055890670890243174,0.008589546455109778,0.1872249478316668,398500.0,0.697912228376651,1129.0,0.5134048257372654,0.2833124215809285,197917.0,"Asheville, NC",3,11700,208100.0,0.04520341536916117,51377.56,0.26634795314142146,3.5,2023.0,2636.0,30.0,30.0,1260.0,3926.0,67.14212939378503,0.7641365257259297,0.7641365257259297,32.09373408048905,0.019836598169939924,465100.0,1995.0,2460.0,0.004289400129004515,0.04829862702505627,,NC,Metropolitan Statistical Area,1791.0,3398.0,-0.016793710918889253,0.00449435382685069,0.018937947377182417,0.08560599015300932,31,275,213,260,149,264,287,51,6,58,35,245,75,157,314,23
"Lake Charles, LA",29340,-0.006027331207329235,0.003374043099252179,248494.0,0.04865717999358552,-0.008269278353806982,0.1828297025064418,215900.0,0.33436341161928307,854.0,0.24853801169590642,0.39555349698934694,110994.0,"Lake Charles, LA",2,29340,96500.0,-0.14902998236331566,58628.96,0.3327501832194615,3.9,2023.0,576.0,24.0,24.0,432.0,1032.0,55.81395348837209,2.3255813953488373,2.3255813953488373,41.86046511627907,0.009297799881074653,169000.0,898.0,1687.0,0.0053136094674556215,0.011731480305370523,-0.049342105263157965,LA,Metropolitan Statistical Area,844.0,4409.0,-0.005923756781822474,0.003909217230199167,0.008009948787246752,-0.11937225264944451,29,253,1,5,284,317,219,167,30,271,103,20,265,74,331,24
"Gadsden, AL",23460,-0.00691226543099255,0.013110815116613127,103348.0,0.0020944032889888687,-0.00115977886882901,0.1818316038133805,188200.0,0.4726134585289515,529.0,0.07520325203252033,0.28108395324123275,47412.0,"Gadsden, AL",2,23460,35200.0,-0.05882352941176472,41302.56,0.2333540372670806,3.9,2023.0,106.0,0.0,0.0,0.0,106.0,100.0,0.0,0.0,0.0,0.002235720914536404,178900.0,1556.0,2043.0,0.008697596422582448,0.038325766080813395,,AL,Metropolitan Statistical Area,536.0,3798.0,0.010875094202076722,0.0028480340063761957,0.002007383253527609,-0.011808136785456525,25,90,5,44,33,218,223,330,330,54,305,174,314,106,361,25
"Wheeling, WV",48540,-0.033680875876834174,0.015920652929766133,139287.0,-0.03139060229066557,-0.007453699414962981,0.1789031532863988,161300.0,0.4744058500914077,600.0,0.18811881188118812,0.3719776813391196,67612.0,"Wheeling, WV-OH",2,48540,63200.0,-0.042424242424242475,54995.719999999994,0.21909076238559577,4.6,2023.0,9.0,2.0,2.0,0.0,11.0,81.81818181818181,18.181818181818183,18.181818181818183,0.0,0.00016269301307460213,137200.0,1123.0,1463.0,0.008185131195335277,0.037042876721722795,,WV,Metropolitan Statistical Area,1248.0,2354.0,0.01575795991669153,0.007737135771853689,0.004749175014443367,-0.020148015212790065,3,12,12,26,218,202,108,368,352,226,299,158,345,253,172,26
"Tuscaloosa, AL",46220,0.13989477999453404,0.03447527515113936,272931.0,0.09998710311862713,0.02661601248801038,0.1780109871160052,229900.0,0.40354090354090355,777.0,0.22169811320754718,0.3379730317529361,121779.0,"Tuscaloosa, AL",3,46220,117200.0,0.025371828521434825,46272.72,0.05418660853907031,3.4,2023.0,575.0,30.0,59.0,61.0,695.0,82.73381294964028,4.316546762589928,8.489208633093526,8.776978417266188,0.00570705950943923,248600.0,1536.0,1988.0,0.006178600160901046,0.024009741890660186,,AL,Metropolitan Statistical Area,665.0,3798.0,0.028768215641700127,0.002892561983471074,0.010036916267638044,0.02546549184265121,351,342,161,180,79,44,304,237,367,149,191,65,243,111,359,27
"Homosassa Springs, FL",26140,0.08102355652285238,0.0259404948134198,155173.0,0.09761411302016651,0.021627778363004318,0.1776314187626305,278800.0,1.0261627906976745,911.0,0.24453551912568305,0.3267575322812052,82142.0,"Homosassa Springs, FL",2,26140,35700.0,0.07530120481927716,48589.32,0.07439261362983074,5.5,2023.0,2196.0,2.0,6.0,0.0,2202.0,99.7275204359673,0.0908265213442325,0.2724795640326976,0.0,0.02680723624942173,258900.0,1597.0,2012.0,0.006168404789494013,0.019555979958987724,-0.009016393442622839,FL,Metropolitan Statistical Area,1103.0,4984.0,-0.0008667414360019297,0.003956241032998565,0.002056343820686819,0.015484516722039309,273,340,274,158,110,59,42,28,96,128,190,42,170,22,330,28
"Alexandria, LA",10780,-0.0007232880675551055,0.0006337365104657058,151721.0,-0.0172555623927195,-0.006378728838534333,0.176396071476475,166700.0,0.16329378925331473,663.0,0.07804878048780488,0.3977204559088182,67099.0,"Alexandria, LA",2,10780,61800.0,-0.003225806451612856,50544.0,0.334413311184635,4.1,2023.0,223.0,18.0,18.0,0.0,241.0,92.5311203319502,7.468879668049793,7.468879668049793,0.0,0.003591707775078615,128400.0,869.0,1628.0,0.00676791277258567,0.00825667047121903,,LA,Metropolitan Statistical Area,815.0,4409.0,-0.002957971264612909,0.004889022195560888,0.00461208542639758,-0.0014877694923862942,36,34,82,85,136,319,188,298,61,274,248,14,341,72,302,29
"Hot Springs, AR",26300,0.07882781688383006,0.031036045707197212,100021.0,0.02068493989427924,0.003280036912953638,0.1749231620945726,220900.0,0.47759197324414715,774.0,0.2544570502431118,0.3503847894975102,52383.0,"Hot Springs, AR",2,26300,40900.0,0.040712468193384144,44210.4,0.35923261390887284,3.7,2023.0,78.0,6.0,6.0,0.0,84.0,92.85714285714286,7.142857142857143,7.142857142857143,0.0,0.0016035736784834774,238600.0,1447.0,1845.0,0.006064543168482817,0.03132292079486221,,AR,Metropolitan Statistical Area,845.0,4675.0,0.029432472028713734,0.0038252602987777274,0.0025655337191426027,0.010444920993964775,265,156,199,132,64,333,264,354,368,178,176,116,254,36,336,30
"Niles, MI",35660,0.007567224557785357,0.0017191615538696906,153938.0,-0.006518315822082247,-0.0021067916480296636,0.174611425898009,237900.0,0.5559189012426422,765.0,0.31896551724137934,0.32156368221941994,76948.0,"Niles, MI",2,35660,63900.0,0.007886435331230235,36925.2,-0.0023182297154901166,5.3,2023.0,303.0,0.0,4.0,48.0,355.0,85.35211267605634,0.0,1.1267605633802815,13.52112676056338,0.004613505224307325,262100.0,1724.0,2367.0,0.006577642121327738,0.07171923740651409,,MI,Metropolitan Statistical Area,2032.0,2956.0,-0.002894343670437634,0.008541403951240017,0.004817719808466262,0.0037994635713456087,53,63,113,108,11,26,49,266,62,115,237,351,228,203,147,31
"Lakeland, FL",29460,0.16566786111454343,0.043317349848723034,736229.0,0.12874239562380416,0.03236495089378362,0.1746062001793621,296300.0,0.8369497830130193,1192.0,0.5165394402035624,0.4022949713128586,320023.0,"Lakeland-Winter Haven, FL",4,29460,277900.0,0.1740599915504859,53288.04,0.25920965324027434,4.6,2023.0,9209.0,124.0,135.0,3169.0,12513.0,73.59546072085031,0.9909693918324942,1.078877966914409,25.325661312235276,0.039100314664883465,330400.0,1799.0,2218.0,0.005444915254237288,0.014462121689500895,0.0008203445447085844,FL,Metropolitan Statistical Area,1398.0,4984.0,0.0042170351838395695,0.004718191022612218,0.02577284255260813,0.4486020756938975,359,358,362,337,186,252,119,7,221,285,112,23,149,30,308,32
"Dothan, AL",20020,0.028782028782028783,0.01415175945469015,150969.0,0.021510251031869546,0.005628680290959473,0.1737028318509225,170600.0,0.3593625498007968,706.0,0.3843137254901961,0.4138335287221571,70943.0,"Dothan, AL",2,20020,64400.00000000001,0.07333333333333347,41374.84,-0.004329708558057033,3.4,2023.0,442.0,0.0,16.0,0.0,458.0,96.5065502183406,0.0,3.493449781659389,0.0,0.006455887120646152,172800.0,2237.0,2763.0,0.012945601851851852,0.019314635066395525,,AL,Metropolitan Statistical Area,487.0,3798.0,0.007695872334043998,0.002854630715123095,0.004866680375625472,0.03568898942125353,110,159,265,193,35,25,305,221,289,301,322,39,337,107,360,33
"El Centro, CA",20940,0.040400017699898226,0.03256406315188511,179578.0,-0.002106058669571064,-0.0026270334516331484,0.1736693201187903,331900.0,0.5480410447761194,775.0,0.21473354231974923,0.23350406749020788,56907.0,"El Centro, CA",2,20940,59600.0,0.10575139146567714,50741.6,0.5468509741134693,20.2,2023.0,184.0,10.0,10.0,69.0,263.0,69.96197718631178,3.802281368821293,3.802281368821293,26.23574144486692,0.004621575553095401,348000.0,1583.0,2117.0,0.004548850574712644,0.05645623570556557,,CA,Metropolitan Statistical Area,1931.0,1772.0,0.02794248759878971,0.005818017475143116,0.004396658930897055,0.046495279974236005,155,73,319,213,141,366,1,264,366,16,46,292,119,339,248,34
